"reporting_name","metric","model_type","formula","family_used","fallback_used","fallback_reason","model_ok","model_issue","nbinom2_dispersion"
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.5684927607965595
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 6478900",TRUE,NA,6478883.638095516
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 10276000",TRUE,NA,10276023.380572416
"Boston Bay","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 14927000",TRUE,NA,14926836.80217185
"Boston Bay","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 863530000",TRUE,NA,863528100.1039982
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,163.1695875089756
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,163.1695875089756
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,106.72973564923842
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,742.0135976438239
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,13.013857440685097
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,13.013857440685097
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian",TRUE,NA,0.8691154540035908
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian",TRUE,NA,0.8691154540035908
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,TRUE,NA,1.3392485389901994
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct","nbinom2",FALSE,NA,TRUE,NA,1.565467995641261
"Glenelg","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.1733607505118033
"Glenelg","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.3067014547383384
"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 49967000",TRUE,NA,49966969.04172088
"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 1442200000",TRUE,NA,1442232586.3503017
"O'Sullivan","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.863548848367452
"O'Sullivan","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,4.425868343187965
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.6893851682288918
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.788028385980131
"Orcades Bank - Orcades Bank Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ 1","nbinom2",FALSE,NA,TRUE,NA,6.855996659826006
"Orcades Bank - Orcades Bank Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ 1","nbinom2",FALSE,NA,TRUE,NA,6.855996659826006
"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 242840000",TRUE,NA,242840327.7940185
"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 242840000",TRUE,NA,242840327.7940185
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,TRUE,NA,388.41753470665606
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 241100000",TRUE,NA,241095958.12218687
"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,45.272513300734026
"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,491.9374386832819
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,17.678848190423842
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,23.10457227005716
"The Pages - The Pages Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 26863000",TRUE,NA,26863276.706648685
"The Pages - The Pages Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 85500000",TRUE,NA,85499986.78160742
"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 52626000",TRUE,NA,52626100.34597066
"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 14236000",TRUE,NA,14235790.224113677
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 863440000",TRUE,NA,863442579.5374335
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 39105000",TRUE,NA,39105095.42470523
"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 1.247e+11",124699250519.08234
"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 33984000",33983876.73970089
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 1398600000",1398571111.9243808
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 31257000",31257240.617613755
"Boston Bay","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 30755000",30755070.611667264
"Boston Bay","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 221300000",221298740.54028434
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 120360000",120363339.95759785
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 120360000",120363339.95759785
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 383730000",383725259.0672033
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 57596000",57596069.76264821
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 26518000",26517612.16214604
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 26518000",26517612.16214604
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 70504000",70503548.10774569
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 70504000",70503548.10774569
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 2.072e+11",207195162680.52945
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 186130000",186134673.30324334
"Glenelg","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 20463000",20463446.548494887
"Glenelg","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 136800000",136796218.57306504
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 139850000",139848872.3815685
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 1159800000",1159841621.4786556
"O'Sullivan","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 68248000",68247786.4179831
"O'Sullivan","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 338790000",338794504.053797
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 51487000",51487170.665843435
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 42838000",42838169.282269366
"Orcades Bank - Orcades Bank Sanctuary Zone","Shannon diversity","Period","shannon ~ 1","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 69732000",69732330.55832228
"Orcades Bank - Orcades Bank Sanctuary Zone","Shannon diversity","Temporal","shannon ~ 1","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 69732000",69732330.55832228
"Port Gibbon - Port Gibbon Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 93969000",93968870.42092624
"Port Gibbon - Port Gibbon Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 93969000",93968870.42092624
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 26239000",26238975.046872605
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 47880000",47879564.441985324
"Rapid Head - Rapid Head Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 152510000",152507068.84240204
"Rapid Head - Rapid Head Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 157900000",157896155.5133131
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 114310000",114307867.42506774
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 49798000",49797929.48610608
"The Pages - The Pages Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 102070000",102069339.11349672
"The Pages - The Pages Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 685980000",685975146.0080758
"Victor Harbor - Encounter Bay Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 123590000",123587253.64113668
"Victor Harbor - Encounter Bay Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"large nbinom2 dispersion: 1.0958e+10",10957777546.497627
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 174160000",174163938.5809992
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,FALSE,"non-positive-definite Hessian; large nbinom2 dispersion: 28851000",28851117.05161205
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.1347081514412656
"Aldinga - Aldinga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.1347081514412656
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.9891363293855187
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.4129483438252337
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.8707394173929293
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.8707394173929293
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.2477070614688484
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.699430649795527
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.4238354478000215
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.4238354478000215
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.2255294065679014
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.2255294065679014
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ 1 + (1 | start_date_fct)","nbinom2",FALSE,NA,TRUE,NA,26.53193371293601
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct","nbinom2",FALSE,NA,TRUE,NA,30.44184668207318
"Glenelg","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,0.723170213604038
"Glenelg","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,0.7985432168279388
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.2352631370866014
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.2352631370866014
"O'Sullivan","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.6123642927764883
"O'Sullivan","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,2.124709930931065
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.044477461317988
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.044477461317988
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,8.68025934941377
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,8.68025934941377
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,TRUE,NA,43.986740155704524
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct","nbinom2",FALSE,NA,TRUE,NA,57.728847468986075
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.171745319802687
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.2770761784481652
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,4.426306516150832
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,5.213258904875669
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,3.3646584163670825
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,4.000041034125224
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,4.818981865489035
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,5.932060085134803
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.1488769681955313
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,1.5285169423279092
